method,neighbor_idx,cosine_distance,text_snippet
GELD,238,0.022924264992780996,"['real', 'world', 'applications', 'software', 'engineers', 'recognise', 'use', 'memory', 'organised', 'data', 'structures', 'software', 'using', 'data', 'independant', 'data', 'structures', 'implementation', 'details', 'achieve', 'using', 'abstract', 'data', 'structures', 'records', 'files', 'buffers', 'demonstrate', 'genetic', 'programming', 'automatically', 'implement', 'simple', 'abstract', 'data', 'structures', 'considering', 'task', 'evolving', 'list', 'general', 'reasonably', 'efficient', 'implementations', 'automatically', 'generated', 'simple', 'primitives', 'model', 'maintaining', 'evolved', 'code', 'demonstrated', 'using', 'list', 'problem', 'published', 'work', 'genetic', 'programming', 'gp', 'evolves', 'functions', 'sideeffects', 'learn', 'patterns', 'test', 'data', 'contrast', 'human', 'written', 'programs', 'make', 'extensive', 'explicit', 'use', 'memory', 'memory', 'form', 'required', 'programming', 'turing', 'complete', 'possible', 'write', 'computable', 'program', 'inclusion', 'memory', 'make', 'interactions', 'parts', 'programs', 'complex', 'make', 'harder', 'produce', 'programs', 'despite', 'shown', 'gp', 'automatically', 'create', 'programs', 'explicitly', 'use', 'memory', 'teller', 'normal', 'genetic', 'programming', 'considerable', 'benefits', 'adopting', 'structured', 'approach', 'example', 'koza', 'shows', 'introduction', 'evolvable', 'code', 'modules', 'automatically', 'defined', 'functions', 'adfs', 'greatly', 'help', 'gp', 'reach', 'solution', 'suggest', 'corresponding', 'structured', 'approach', 'use', 'data', 'similarly', 'significant', 'advantage', 'gp', 'earlier', 'work', 'demonstrated', 'genetic', 'programming', 'automatically', 'generate', 'simple', 'abstract', 'data', 'structures', 'stacks', 'queues', 'langdon', 'gp', 'evolve', 'programs', 'organise', 'memory', 'accessed', 'simple', 'read', 'write', 'primitives', 'data', 'structures', 'used', 'external', 'software', 'needing', 'know', 'implemented', 'chapter', 'shows', 'possible', 'evolve', 'list', 'data', 'structure', 'basic', 'primitives', 'aho', 'hopcroft', 'ullman', 'suggest', 'different', 'ways', 'implement', 'list', 'experiments', 'gp', 'evolve', 'implementation', 'requires', 'list', 'components', 'agree', 'implementation', 'coevolve', 'section', 'describes', 'gp', 'architecture', 'including', 'use', 'pareto', 'multiple', 'component', 'fitness', 'scoring', 'measures', 'aimed', 'speeding', 'gp', 'search', 'evolved', 'solutions', 'described', 'section', 'section', 'presents', 'candidate', 'model', 'maintaining', 'evolved', 'software', 'followed', 'discussion', 'learned', 'conclusions', 'drawn']"
GELD,694,0.02800580511767181,"['genetic', 'programming', 'gp', 'variant', 'genetic', 'algorithms', 'data', 'structures', 'handled', 'trees', 'makes', 'gp', 'especially', 'useful', 'evolving', 'functional', 'relationships', 'computer', 'programs', 'represented', 'trees', 'symbolic', 'regression', 'determination', 'function', 'dependence', 'gx', 'approximates', 'set', 'data', 'points', 'x', 'paper', 'feasibility', 'symbolic', 'regression', 'gp', 'demonstrated', 'examples', 'taken', 'different', 'domains', 'furthermore', 'suggested', 'methods', 'literature', 'compared', 'intended', 'improve', 'gp', 'performance', 'readability', 'solutions', 'taking', 'account', 'introns', 'redundancy', 'occurs', 'trees', 'keeping', 'size', 'trees', 'small', 'experiments', 'gp', 'elegant', 'useful', 'tool', 'derive', 'complex', 'functional', 'dependencies', 'numerical', 'data']"
GELD,705,0.03023871062193595,"['standard', 'method', 'obtaining', 'response', 'treebased', 'genetic', 'programming', 'value', 'returned', 'root', 'node', 'nontree', 'representations', 'alternate', 'methods', 'explored', 'alternative', 'treat', 'specific', 'location', 'indexed', 'memory', 'response', 'value', 'program', 'terminates', 'purpose', 'paper', 'explore', 'applicability', 'technique', 'treestructured', 'programs', 'explore', 'intron', 'effects', 'studies', 'bring', 'light', 'papers', 'experimental', 'results', 'support', 'finding', 'memorybased', 'program', 'response', 'technique', 'improvement', 'problems', 'addition', 'papers', 'experimental', 'results', 'support', 'finding', 'contrary', 'past', 'research', 'speculation', 'addition', 'facilitation', 'introns', 'seriously', 'degrade', 'search', 'performance', 'genetic', 'programming']"
GELD,1774,0.030833336866258998,"['research', 'robotics', 'programming', 'divided', 'camps', 'direct', 'hand', 'programmming', 'approach', 'uses', 'explicit', 'model', 'behavioral', 'model', 'subsumption', 'architecture', 'machine', 'learning', 'community', 'uses', 'neural', 'network', 'andor', 'genetic', 'algorithm', 'claim', 'hand', 'programming', 'learning', 'complementary', 'approaches', 'used', 'orders', 'magnitude', 'powerful', 'approach', 'taken', 'separately', 'propose', 'method', 'combine', 'includes', 'concepts', 'syntactic', 'constraints', 'restrict', 'search', 'space', 'handmade', 'problem', 'decomposition', 'hand', 'given', 'fitness', 'use', 'method', 'solve', 'complex', 'problem', 'eightlegged', 'locomotion', 'needs', 'evaluations', 'compared', 'genetic', 'algorithm', 'used']"
GELD,1612,0.03294104047851232,"['paper', 'presents', 'large', 'systematic', 'body', 'data', 'relative', 'effectiveness', 'mutation', 'crossover', 'combinations', 'mutation', 'crossover', 'genetic', 'programming', 'gp', 'literature', 'traditional', 'genetic', 'algorithms', 'contains', 'related', 'studies', 'mutation', 'crossover', 'gp', 'differ', 'traditional', 'counterparts', 'significant', 'ways', 'paper', 'present', 'results', 'large', 'experimental', 'data', 'set', 'equivalent', 'approximately', 'typical', 'runs', 'gp', 'systematically', 'exploring', 'range', 'parameter', 'settings', 'resulting', 'data', 'useful', 'practitioners', 'seeking', 'optimize', 'parameters', 'gp', 'runs', 'theorists', 'exploring', 'issues', 'role', 'building', 'blocks', 'gp']"
RLE,238,0.043773908499009195,"['real', 'world', 'applications', 'software', 'engineers', 'recognise', 'use', 'memory', 'organised', 'data', 'structures', 'software', 'using', 'data', 'independant', 'data', 'structures', 'implementation', 'details', 'achieve', 'using', 'abstract', 'data', 'structures', 'records', 'files', 'buffers', 'demonstrate', 'genetic', 'programming', 'automatically', 'implement', 'simple', 'abstract', 'data', 'structures', 'considering', 'task', 'evolving', 'list', 'general', 'reasonably', 'efficient', 'implementations', 'automatically', 'generated', 'simple', 'primitives', 'model', 'maintaining', 'evolved', 'code', 'demonstrated', 'using', 'list', 'problem', 'published', 'work', 'genetic', 'programming', 'gp', 'evolves', 'functions', 'sideeffects', 'learn', 'patterns', 'test', 'data', 'contrast', 'human', 'written', 'programs', 'make', 'extensive', 'explicit', 'use', 'memory', 'memory', 'form', 'required', 'programming', 'turing', 'complete', 'possible', 'write', 'computable', 'program', 'inclusion', 'memory', 'make', 'interactions', 'parts', 'programs', 'complex', 'make', 'harder', 'produce', 'programs', 'despite', 'shown', 'gp', 'automatically', 'create', 'programs', 'explicitly', 'use', 'memory', 'teller', 'normal', 'genetic', 'programming', 'considerable', 'benefits', 'adopting', 'structured', 'approach', 'example', 'koza', 'shows', 'introduction', 'evolvable', 'code', 'modules', 'automatically', 'defined', 'functions', 'adfs', 'greatly', 'help', 'gp', 'reach', 'solution', 'suggest', 'corresponding', 'structured', 'approach', 'use', 'data', 'similarly', 'significant', 'advantage', 'gp', 'earlier', 'work', 'demonstrated', 'genetic', 'programming', 'automatically', 'generate', 'simple', 'abstract', 'data', 'structures', 'stacks', 'queues', 'langdon', 'gp', 'evolve', 'programs', 'organise', 'memory', 'accessed', 'simple', 'read', 'write', 'primitives', 'data', 'structures', 'used', 'external', 'software', 'needing', 'know', 'implemented', 'chapter', 'shows', 'possible', 'evolve', 'list', 'data', 'structure', 'basic', 'primitives', 'aho', 'hopcroft', 'ullman', 'suggest', 'different', 'ways', 'implement', 'list', 'experiments', 'gp', 'evolve', 'implementation', 'requires', 'list', 'components', 'agree', 'implementation', 'coevolve', 'section', 'describes', 'gp', 'architecture', 'including', 'use', 'pareto', 'multiple', 'component', 'fitness', 'scoring', 'measures', 'aimed', 'speeding', 'gp', 'search', 'evolved', 'solutions', 'described', 'section', 'section', 'presents', 'candidate', 'model', 'maintaining', 'evolved', 'software', 'followed', 'discussion', 'learned', 'conclusions', 'drawn']"
RLE,694,0.08869316202853506,"['genetic', 'programming', 'gp', 'variant', 'genetic', 'algorithms', 'data', 'structures', 'handled', 'trees', 'makes', 'gp', 'especially', 'useful', 'evolving', 'functional', 'relationships', 'computer', 'programs', 'represented', 'trees', 'symbolic', 'regression', 'determination', 'function', 'dependence', 'gx', 'approximates', 'set', 'data', 'points', 'x', 'paper', 'feasibility', 'symbolic', 'regression', 'gp', 'demonstrated', 'examples', 'taken', 'different', 'domains', 'furthermore', 'suggested', 'methods', 'literature', 'compared', 'intended', 'improve', 'gp', 'performance', 'readability', 'solutions', 'taking', 'account', 'introns', 'redundancy', 'occurs', 'trees', 'keeping', 'size', 'trees', 'small', 'experiments', 'gp', 'elegant', 'useful', 'tool', 'derive', 'complex', 'functional', 'dependencies', 'numerical', 'data']"
RLE,1774,0.08877141454676662,"['research', 'robotics', 'programming', 'divided', 'camps', 'direct', 'hand', 'programmming', 'approach', 'uses', 'explicit', 'model', 'behavioral', 'model', 'subsumption', 'architecture', 'machine', 'learning', 'community', 'uses', 'neural', 'network', 'andor', 'genetic', 'algorithm', 'claim', 'hand', 'programming', 'learning', 'complementary', 'approaches', 'used', 'orders', 'magnitude', 'powerful', 'approach', 'taken', 'separately', 'propose', 'method', 'combine', 'includes', 'concepts', 'syntactic', 'constraints', 'restrict', 'search', 'space', 'handmade', 'problem', 'decomposition', 'hand', 'given', 'fitness', 'use', 'method', 'solve', 'complex', 'problem', 'eightlegged', 'locomotion', 'needs', 'evaluations', 'compared', 'genetic', 'algorithm', 'used']"
RLE,705,0.09351165233097258,"['standard', 'method', 'obtaining', 'response', 'treebased', 'genetic', 'programming', 'value', 'returned', 'root', 'node', 'nontree', 'representations', 'alternate', 'methods', 'explored', 'alternative', 'treat', 'specific', 'location', 'indexed', 'memory', 'response', 'value', 'program', 'terminates', 'purpose', 'paper', 'explore', 'applicability', 'technique', 'treestructured', 'programs', 'explore', 'intron', 'effects', 'studies', 'bring', 'light', 'papers', 'experimental', 'results', 'support', 'finding', 'memorybased', 'program', 'response', 'technique', 'improvement', 'problems', 'addition', 'papers', 'experimental', 'results', 'support', 'finding', 'contrary', 'past', 'research', 'speculation', 'addition', 'facilitation', 'introns', 'seriously', 'degrade', 'search', 'performance', 'genetic', 'programming']"
RLE,1652,0.09700344430524266,"['general', 'machine', 'learning', 'process', 'accelerated', 'use', 'heuristic', 'knowledge', 'problem', 'solution', 'example', 'monomorphic', 'typed', 'genetic', 'programming', 'gp', 'uses', 'type', 'information', 'reduce', 'search', 'space', 'improve', 'performance', 'unfortunately', 'monomorphic', 'typed', 'gp', 'loses', 'generality', 'untyped', 'gp', 'generated', 'programs', 'suitable', 'inputs', 'specified', 'type', 'polymorphic', 'typed', 'gp', 'improves', 'monomorphic', 'untyped', 'gp', 'allowing', 'type', 'information', 'expressed', 'generic', 'manner', 'imposes', 'constraints', 'search', 'space', 'paper', 'describes', 'polymorphic', 'gp', 'generate', 'polymorphic', 'programs', 'programs', 'inputs', 'type', 'produces', 'outputs', 'type', 'demonstrate', 'operation', 'generation', 'map', 'polymorphic', 'program']"
